AREACD,,,,,
AREANM,,,,,
"female disability free life expectancy at birth, 2009-13",,"        ""Home ownership amongst households aged 65+ (%)"","," ""2014"","," ""Proportion of households with Household Reference Person (HRP) aged 65 and over where HRP owns the home (outright, with mortgage or shared equity) """," ""Proportion of households with Household Reference Person (HRP) aged 65 and over where HRP owns the home (outright, with mortgage or shared equity) "","
"male healthy life expectancy age 65, 2009-13",,"        ""Proportion aged 65+ who are married or civil partnered"", "," ""2011"","," ""Proportion of population aged 65+ who are married or civil partnered on 2011 Census day"""," ""Proportion of population aged 65+ who are married or civil partnered on 2011 Census day"","
"female healthy life expectancy age 65, 2009-13",,"        ""Proportion aged 85+ living in household"", "," ""2011"","," ""Proportion of population aged 85+ who were living in a household on 2011 Census day"""," ""Proportion of population aged 85+ who were living in a household on 2011 Census day"","
"male disability free life expectancy age 65, 2009-13",,"        ""Proportion aged 85+ living in a communal establishment"", "," ""2011"","," ""Proportion of population aged 85+ who were living in a communal establishment on 2011 Census day"""," ""Proportion of population aged 85+ who were living in a communal establishment on 2011 Census day"","
"female disability free life expectancy age 65, 2009-13",,"        ""Household Net Property Wealth"", "," ""2012-14"","," ""The sum of the values recorded for each household for the main residence plus any other property,  minus the value of mortgage liabilities and equity release."""," ""The sum of the values recorded for each household for the main residence plus any other property,  minus the value of mortgage liabilities and equity release."","
"% of life from birth disability free - male, 2009-13",,"        ""Median House Prices"", "," ""Year ending June 2015"","," "" Median house price (all dwellings) by local authority (HPSSA Dataset 09)"""," "" Median house price (all dwellings) by local authority (HPSSA Dataset 09)"","
"% of life from birth disability free - female,  2009-13",,"        ""Aged 65 and over, % in employment"","," ""2011-2015"","," ""Proportion of household population aged 65 and over who are in employment"""," ""Proportion of household population aged 65 and over who are in employment"","
"% of life age 65+ disability free - male,  2009-13",,"        ""Aged 65 and over, % not in employment"", "," ""2011-2015"","," ""Proportion of household population aged 65 and over who are not  in employment"""," ""Proportion of household population aged 65 and over who are not  in employment"","
"% of life age 65+ disability free - female,  2009-13",,"        ""Aged 65 and over, in employment % of males"", "," ""2011-2015"","," ""Proportion of males aged 65 and over in household population who are in employment"""," ""Proportion of males aged 65 and over in household population who are in employment"","
"% of life from birth in good health - male, 2009-13 ",,"        ""Aged 65 and over, in employment % of females"", "," ""2011-2015"","," ""Proportion of females aged 65 and over in household population who are in employment"""," ""Proportion of females aged 65 and over in household population who are in employment"","
"% of life from birth in good health - female,  2009-13",,"        ""Aged 65 and over, in employment % full time"", "," ""2011-2015"","," ""Proportion of household population aged 65 and over who are in full time employment"""," ""Proportion of household population aged 65 and over who are in full time employment"","
"% of life age 65+ in good health - male,  2009-13",,"        ""Aged 65 and over, in employment % part time"","," ""2011-2015"","," ""Proportion of household population aged 65 and over who are in part time employment"""," ""Proportion of household population aged 65 and over who are in part time employment"","
"% of life age 65+ in good health - female,  2009-13",,"        ""Aged 65 and over, in employment % employees"","," ""2011-2015"","," ""Proportion of household population aged 65 and over in employment who are employees"""," ""Proportion of household population aged 65 and over in employment who are employees"","
"total age standardised mortality rate, 2011",,"        ""Aged 65 and over, in employment % self employed"","," ""2011-2015"","," ""Proportion of household population aged 65 and over in employment who are self employed"""," ""Proportion of household population aged 65 and over in employment who are self employed"","
"male age standardised mortality rate, 2011",,"        ""Aged 65 and over, % with no qualifications"", "," ""2011"","," ""Proportion of population aged 65 and over who had no qualifications on Census day"""," ""Proportion of population aged 65 and over who had no qualifications on Census day"","
"female age standardised mortality rate, 2011",,"        ""Aged 65 and over, % with level 4 and above qualifications"", "," ""2011"","," ""Proportion of population aged 65 and over who had Level 4 qualifications and above (Degree level and above) on Census day"""," ""Proportion of population aged 65 and over who had Level 4 qualifications and above (Degree level and above) on Census day"","
"average life satisfaction, 2012-15",,"        ""Aged 50 and over, % with no qualifications"", "," ""2011"","," ""Proportion of population aged 50 and over who had no qualifications on Census day"""," ""Proportion of population aged 50 and over who had no qualifications on Census day"","
"average worthwhile, 2012-15",,"        ""Aged 50 and over, % with level 4 and above qualifications"", "," ""2011"","," ""Proportion of population aged 50 and over who had Level 4 qualifications and above (Degree level and above) on Census day"""," ""Proportion of population aged 50 and over who had Level 4 qualifications and above (Degree level and above) on Census day"","
"average happiness, 2012-15",,"        ""Proportion of older people living in income deprived households"""," ""2015""","""The Income Deprivation Affecting Older People Index is a subset of the Income Deprivation Domain, with the score showing the proportion of a Lower-layer Super Output Area’s population aged 60 and over who are income deprived.  Income Deprivation Affecting Older People Index scores are rates, so can be interpreted as the proportion of the relevant population that is ‘income deprived’. For example a score of 0.24 on the Income Deprivation Affecting Older People Index would mean that 24% of people aged 60 and over in the area are income deprived.""","""The Income Deprivation Affecting Older People Index is a subset of the Income Deprivation Domain, with the score showing the proportion of a Lower-layer Super Output Area’s population aged 60 and over who are income deprived.  Income Deprivation Affecting Older People Index scores are rates, so can be interpreted as the proportion of the relevant population that is ‘income deprived’. For example a score of 0.24 on the Income Deprivation Affecting Older People Index would mean that 24% of people aged 60 and over in the area are income deprived."""
"average anxiety, 2012-15",,,,,
"% age 65+ living alone, 2014",,,,,
"% hhlds where HRP age 65+ and owner, 2014",,,,,
"% age 65+ who are married/civil partnered, 2011",,,,,
"% living in a household age 65+, 2011",,,,,
"% living in a communal establishment age 65+, 2011",,,,,
"% living in a household age 85+, 2011",,,,,
"% living in a communal establishment age 85+, 2011",,,,,
"% age 50-64 giving unpaid care - men, 2011",,,,,
"% age 50-64 giving unpaid care - women, 2011",,,,,
"% age 65+ giving unpaid care - men, 2011",,,,,
"% age 65+ giving unpaid care - women, 2011",,,,,
" % aged 65+ in employment, 2011-15",,,,,
" % aged 65+ not in employment, 2011-15",,,,,
" % males aged 65+ in employment, 2011-15",,,,,
" % females aged 65+ in employment, 2011-15",,,,,
" % aged 65+ in full-time employment, 2011-15",,,,,
" % aged 65+ in part-time employment, 2011-15",,,,,
" % aged 65+ in employment - employees, 2011-15",,,,,
" % aged 65+ in employment - self-employed, 2011-15",,,,,
"% age 50+ with no qualifications, 2011",,,,,
"% age 50+ with degree or above, 2011",,,,,
"% age 65+ with no qualifications, 2011",,,,,
"% age 65+ with degree or above, 2011",,,,,
"Income Deprivation Affecting Older People (IDAOPI) average, 2015",,,,,
