AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E07000004,Aylesbury Vale,-3.14484201,-1.531497578,-5.334563809,-3.643697606
E07000005,Chiltern,-0.590480242,0.738793351,-0.256681211,0.888198516
E07000006,South Bucks,-3.210667154,-0.472382884,-2.485554237,-0.429120362
E07000007,Wycombe,-1.864190427,-0.489237793,-1.281624739,0.018235998
E07000008,Cambridge,-3.273613147,-2.91390971,1.549762209,2.541413867
E07000009,East Cambridgeshire,-5.574624445,-4.143819499,-3.125256767,-2.161942343
E07000010,Fenland,-0.19139895,0.663156902,2.272287575,3.104812259
E07000011,Huntingdonshire,-4.220013211,-3.095888339,-1.812650745,-0.908526949
E07000012,South Cambridgeshire,-1.985304456,-0.07164354,-1.517064967,-0.081241697
E07000026,Allerdale,-0.266332784,0.282312764,-0.300215046,0.407814279
E07000027,Barrow-in-Furness,2.678172233,3.044306798,3.611565973,3.938679896
E07000028,Carlisle,-0.538569736,0.094339315,0.584102913,0.983002389
E07000029,Copeland,-2.053249127,-1.602225357,-1.670308317,-1.305274026
E07000030,Eden,-2.064140033,-1.363065203,-1.585327048,-0.97464639
E07000031,South Lakeland,-1.374963035,-0.400101829,-1.03635857,9.92E-03
E07000032,Amber Valley,-1.437195627,-0.651934591,-1.428192227,-0.759632694
E07000033,Bolsover,-0.770078559,-0.098163889,-0.429216407,0.241021465
E07000034,Chesterfield,-0.809098688,-0.36248603,-0.69484786,0.194311357
E07000035,Derbyshire Dales,-2.18468537,-1.119425626,-1.248914143,-0.530608058
E07000036,Erewash,-1.137596139,-0.29671443,-1.327636342,-0.611116453
E07000037,High Peak,-0.272648094,0.569311933,-0.486965596,0.458898391
E07000038,North East Derbyshire,-0.867482824,-0.311204564,-0.595365285,-0.292527891
E07000039,South Derbyshire,-3.976462104,-2.683093999,-4.312852024,-3.056229669
E07000040,East Devon,0.96647606,1.892237987,-0.611609388,0.342055133
E07000041,Exeter,0.439369773,1.068442566,-5.174072696,-3.875007278
E07000042,Mid Devon,-0.934731558,0.163495457,-1.072302193,-0.392423791
E07000043,North Devon,2.662155787,3.43667589,1.968866467,2.525166683
E07000044,South Hams,2.483401197,3.269502622,1.006297415,1.793702374
E07000045,Teignbridge,1.501913564,2.437379322,0.257150263,1.280768043
E07000046,Torridge,1.122325836,1.93088331,-0.368163056,0.364287635
E07000047,West Devon,-0.853565874,0.438771293,-1.305620197,-0.644546613
E07000048,Christchurch,2.68E-03,1.220773621,-0.104695942,0.65173223
E07000049,East Dorset,0.886788922,1.892896559,0.719536045,1.366684334
E07000050,North Dorset,-2.765252999,-1.520233922,-3.195834316,-1.665102397
E07000051,Purbeck,-2.044240719,-0.559596545,-1.881069091,-0.530700508
E07000052,West Dorset,-0.318210291,0.363484097,0.333918187,1.150870567
E07000053,Weymouth and Portland,-0.291611617,-0.07093258,1.274835241,1.875800897
E07000061,Eastbourne,-2.283569849,-1.375566651,-1.293227761,-0.200500449
E07000062,Hastings,-2.213675655,-1.508031007,-0.545900704,0.322769066
E07000063,Lewes,-2.780004944,-1.498647794,-2.378211166,-1.410349395
E07000064,Rother,-1.892262768,-0.63642392,-2.150439988,-1.13188329
E07000065,Wealden,-3.431748731,-2.028870519,-3.14315571,-2.023237278
E07000066,Basildon,0.428258401,1.591620145,1.463341942,2.823522343
E07000067,Braintree,-2.007859246,-0.865125496,-1.688282889,-0.77027373
E07000068,Brentwood,-1.367738897,0.273896673,-0.56218063,1.239161005
E07000069,Castle Point,3.32343828,3.635648872,2.65952689,3.278691178
E07000070,Chelmsford,-1.036002255,-0.061793972,-0.879871407,0.177015517
E07000071,Colchester,1.201118527,2.439331542,0.520757848,1.920381975
E07000072,Epping Forest,1.149506427,3.029299718,1.060467535,3.412111228
E07000073,Harlow,3.82961316,4.631888837,5.343744276,6.548116631
E07000074,Maldon,1.485508959,2.437651406,0.820634812,0.472734833
E07000075,Rochford,-0.684504973,0.229710044,-1.209459118,0.048257734
E07000076,Tendring,3.614460918,4.346468366,3.742469734,4.573725423
E07000077,Uttlesford,-3.125875663,-1.373833613,-3.32774359,-2.110386739
E07000078,Cheltenham,-3.857643513,-3.058821714,-1.473341612,-0.3089619
E07000079,Cotswold,-1.848231249,-0.703350366,-0.052770669,1.114216111
E07000080,Forest of Dean,0.220893339,1.221963392,-0.545233528,0.510302096
E07000081,Gloucester,-0.660537379,0.258517099,0.552350194,1.736823235
E07000082,Stroud,-0.216319798,0.75711923,-0.20367775,0.705715654
E07000083,Tewkesbury,-0.853995378,0.730205201,-1.853098958,-0.734441944
E07000084,Basingstoke and Deane,-1.234286105,0.462952933,0.149187525,1.376661276
E07000085,East Hampshire,0.047758636,1.387220264,0.684000097,1.612674432
E07000086,Eastleigh,-3.071615277,-1.561959988,-2.503807313,-1.558411093
E07000087,Fareham,-0.860760223,5.75E-03,-1.744847059,-0.817617372
E07000088,Gosport,-2.382414396,-1.804294233,-2.26104228,-1.654458151
E07000089,Hart,0.291972811,1.720805634,0.426583786,1.621565353
E07000090,Havant,0.256411953,0.610707237,-0.436616198,0.198461943
E07000091,New Forest,-0.408208986,0.656335946,-0.84060051,-0.055944375
E07000092,Rushmoor,-0.017794168,1.334566568,2.444349096,3.48673266
E07000093,Test Valley,-1.915027752,-0.650844717,0.2127406,1.321119184
E07000094,Winchester,-2.649638031,-1.049503311,-1.255336027,-0.363834634
E07000095,Broxbourne,2.74E-03,1.397743299,1.661454247,3.057342783
E07000096,Dacorum,-2.519332109,-1.158609082,-2.249045065,-1.124098293
E07000242,East Hertfordshire,-3.349764229,-1.327036321,-3.122227642,-1.468396348
E07000098,Hertsmere,0.057762928,1.442788164,2.030781265,3.628977504
E07000099,North Hertfordshire,-2.148547475,-0.723253403,-1.514152944,-0.445568495
E07000240,St Albans,-1.482429115,-0.035600149,0.014971641,1.530636387
E07000243,Stevenage,-0.131526252,1.085856151,1.262203465,2.396701528
E07000102,Three Rivers,-0.619090457,0.786730209,-0.41038578,1.343208004
E07000103,Watford,-3.133934284,-0.702433577,0.895054654,3.67744954
E07000241,Welwyn Hatfield,-0.696983181,0.647032727,-4.180586563,-2.726281791
E07000105,Ashford,-0.232951032,1.248573879,-0.483637937,0.709955607
E07000106,Canterbury,-0.988849161,-0.141021432,-3.190678344,-1.998689051
E07000107,Dartford,-4.496994607,-2.840623527,-4.533337816,-2.575647693
E07000108,Dover,-3.232061578,-2.43755626,-4.354599791,-3.033477653
E07000109,Gravesham,-2.418577458,-1.269879448,-1.947182754,-0.588261845
E07000110,Maidstone,-2.386070764,-0.98157469,-3.798996924,-2.724943203
E07000111,Sevenoaks,-1.700951517,-0.032409751,-2.985330088,-1.887925743
E07000112,Shepway,-2.729320033,-1.768409161,-3.964053489,-2.983834208
E07000113,Swale,-0.628609262,0.705176752,-1.090923782,-0.019834985
E07000114,Thanet,1.483185145,2.457302776,0.416148963,1.728901748
E07000115,Tonbridge and Malling,-2.26500617,-1.096896516,-3.416542243,-2.200069309
E07000116,Tunbridge Wells,-7.860418982,-7.174041399,-6.994431525,-6.057716803
E07000117,Burnley,3.878938811,4.38924784,4.940845343,5.478724406
E07000118,Chorley,-3.236555125,-2.02509371,-3.542814168,-2.378925336
E07000119,Fylde,-0.271186497,0.898305273,-0.901711514,0.293928112
E07000120,Hyndburn,2.934342148,3.436917927,3.887517972,4.55490982
E07000121,Lancaster,3.638396797,4.059675153,-0.191317029,0.454829212
E07000122,Pendle,0.607185178,1.082311236,2.70736398,3.374230536
E07000123,Preston,2.546933729,3.396827442,3.099590161,3.676617369
E07000124,Ribble Valley,-1.249586198,-0.285427019,-1.181260687,-0.346912955
E07000125,Rossendale,0.69506396,1.46945579,0.622726281,1.60947954
E07000126,South Ribble,0.549837244,0.916003011,1.276394038,1.748308513
E07000127,West Lancashire,2.339849866,2.976725118,2.806246533,3.634225924
E07000128,Wyre,0.784121727,1.856628721,-0.320580201,0.321750198
E07000129,Blaby,-0.851773129,-1.09E-02,-1.07462498,-0.224766834
E07000130,Charnwood,0.912958734,1.767939467,-2.736311121,-1.759783775
E07000131,Harborough,-2.789641879,-1.326395724,-3.335016392,-2.243477952
E07000132,Hinckley and Bosworth,-0.278608245,0.615870784,-0.656357646,0.330539809
E07000133,Melton,-1.544613429,-0.734073688,-0.443877701,0.211850776
E07000134,North West Leicestershire,-1.80922961,-0.991847984,-2.346292038,-1.387705622
E07000135,Oadby and Wigston,0.59206061,1.29156085,1.533930662,3.106956953
E07000136,Boston,2.383806014,3.112853417,5.289455513,6.10321788
E07000137,East Lindsey,3.511253153,4.420601744,2.889543942,3.719251877
E07000138,Lincoln,2.323944745,2.525728569,2.46181019,3.100743208
E07000139,North Kesteven,-1.119997271,0.270467448,-1.570073693,-0.405143266
E07000140,South Holland,-1.517197221,-0.525127744,-0.612348468,0.353332143
E07000141,South Kesteven,-0.616153268,0.41556756,0.296719052,1.04082772
E07000142,West Lindsey,-0.250329435,0.784077814,-0.890948496,0.040120403
E07000143,Breckland,-3.763758355,-2.750249642,-2.002604405,-0.886150123
E07000144,Broadland,-1.168168719,-0.465619323,-0.656062707,0.078078521
E07000145,Great Yarmouth,1.83342409,2.159454174,4.014709254,4.416830842
E07000146,King's Lynn and West Norfolk,-1.635380094,-0.445854445,0.102032376,0.931044888
E07000147,North Norfolk,-2.848901843,-2.137941364,-3.337192031,-2.755513856
E07000148,Norwich,-0.708325804,-0.091084332,1.074390776,2.042452083
E07000149,South Norfolk,-3.137254624,-2.129812764,-2.371820227,-1.293720182
E07000150,Corby,1.974604868,3.368566993,3.211291572,4.421287794
E07000151,Daventry,0.262269896,1.3459888,0.16528833,1.062338348
E07000152,East Northamptonshire,-2.564630825,-1.66930383,-2.117471047,-0.958584875
E07000153,Kettering,0.924464941,1.909370372,2.206432128,3.097946362
E07000154,Northampton,2.422491271,3.362182987,5.009965661,6.032160237
E07000155,South Northamptonshire,0.940528382,2.309117812,0.227652406,1.462450577
E07000156,Wellingborough,2.649618899,3.332896865,5.360053349,5.912361813
E07000163,Craven,-1.24904858,-0.289668,-0.46711623,0.33365445
E07000164,Hambleton,-2.902506995,-1.621946834,-3.29578928,-2.454371878
E07000165,Harrogate,-2.519738115,-1.429857854,0.109580086,1.066361687
E07000166,Richmondshire,-1.917439393,2.15217752,-6.076524188,-4.819649523
E07000167,Ryedale,-2.607683153,-1.694621954,-1.870891457,-0.905191971
E07000168,Scarborough,0.989040095,1.484740475,1.736187647,2.174101986
E07000169,Selby,-0.804732259,0.267731207,0.052280175,0.958968667
E07000170,Ashfield,-1.017568903,-0.242841175,-0.763714585,-0.065461254
E07000171,Bassetlaw,-1.237793398,-0.516505697,-0.419287358,0.127804143
E07000172,Broxtowe,-0.877222737,-0.165358823,-1.839326974,-1.005453045
E07000173,Gedling,-1.189669202,-0.291763002,-0.581685109,0.115228992
E07000174,Mansfield,-0.288844303,0.060227086,1.273702353,1.84126507
E07000175,Newark and Sherwood,-0.658688265,0.186758768,-0.388771276,0.455912794
E07000176,Rushcliffe,-3.549479373,-2.498038609,-4.215225111,-3.103653048
E07000177,Cherwell,-1.482519125,-0.325828365,-0.233778452,0.919234625
E07000178,Oxford,3.012545604,3.405596509,0.601880517,2.052670292
E07000179,South Oxfordshire,-0.757458981,0.635997754,0.187820137,1.535266425
E07000180,Vale of White Horse,1.27E-02,1.345698613,-1.620949795,-0.234170977
E07000181,West Oxfordshire,-0.933795124,0.90928606,-0.573375078,0.712876618
E07000187,Mendip,0.231472999,0.769618367,1.422803848,2.215804298
E07000188,Sedgemoor,0.296946066,0.946865778,0.663042368,1.55884355
E07000189,South Somerset,-0.363920278,0.529555678,0.810186507,1.69897901
E07000190,Taunton Deane,-0.315798264,0.132845067,0.354728897,1.042790341
E07000191,West Somerset,-0.525826763,0.207368272,1.720582343,2.496897246
E07000192,Cannock Chase,-2.403036484,-1.742991911,-1.911659133,-1.291379804
E07000193,East Staffordshire,-2.238322751,-1.522737755,0.699326898,1.27361581
E07000194,Lichfield,-2.567932418,-1.39558769,-2.029053748,-1.038905547
E07000195,Newcastle-under-Lyme,-2.731378184,-2.357174212,-4.619814067,-3.790046553
E07000196,South Staffordshire,-3.06247102,-2.292994022,-4.664051286,-3.745620455
E07000197,Stafford,-3.732283111,-2.891440179,-3.525794648,-2.847384391
E07000198,Staffordshire Moorlands,-1.803595599,-1.219146001,-1.735530743,-1.040268916
E07000199,Tamworth,0.292532514,0.797360074,1.57462348,1.989085758
E07000200,Babergh,-1.358067037,-0.605861741,-0.603041269,-0.115139111
E07000201,Forest Heath,-10.98596799,-9.399965551,-10.05989238,-8.499500304
E07000202,Ipswich,-3.031375845,-2.34308315,2.399483608,3.129555271
E07000203,Mid Suffolk,-2.307039117,-1.103077904,-2.212800725,-1.617393709
E07000204,St Edmundsbury,-5.850532659,-4.777125312,-4.893102757,-4.19131671
E07000205,Suffolk Coastal,-2.131110392,-0.926614643,-0.580134401,0.12834831
E07000206,Waveney,0.59046034,1.166437606,1.511882673,2.004791857
E07000207,Elmbridge,-4.311943325,-2.42822749,0.469396516,2.093411646
E07000208,Epsom and Ewell,-2.410673947,-0.473586265,-1.894718323,-0.128483003
E07000209,Guildford,0.027143611,1.377775289,-3.063253115,-2.004958522
E07000210,Mole Valley,-2.44696464,-1.099404459,0.393687393,1.210886817
E07000211,Reigate and Banstead,-3.964724003,-2.43603226,-2.691000721,-0.613940264
E07000212,Runnymede,-3.561309795,-1.293426912,-4.621886086,-2.778232102
E07000213,Spelthorne,-1.836075586,0.49964899,0.867147438,2.714888834
E07000214,Surrey Heath,-1.675375434,0.135639859,-0.02770203,1.350108441
E07000215,Tandridge,-2.664013246,-1.151002178,-1.900091806,-0.495546298
E07000216,Waverley,-2.093345647,-1.384649918,-0.354024999,0.554986153
E07000217,Woking,-3.094906451,-1.686600955,2.093218658,3.760303963
E07000218,North Warwickshire,-0.167712812,0.571465744,0.480583645,1.28019306
E07000219,Nuneaton and Bedworth,0.673521618,1.540796045,3.248695123,4.09644594
E07000220,Rugby,-2.417275593,-1.198373298,0.774558752,2.123830014
E07000221,Stratford-on-Avon,0.757717839,2.116494424,2.894063041,4.126073739
E07000222,Warwick,-3.548472575,-2.028897997,-1.34704773,-0.259682858
E07000223,Adur,0.65059228,1.91400041,0.88868426,1.830001414
E07000224,Arun,0.039503433,1.094932997,1.153481744,2.283877243
E07000225,Chichester,0.756007785,2.299617882,1.833118622,2.9637247
E07000226,Crawley,-1.821283964,-0.350524896,0.193417938,1.277485068
E07000227,Horsham,-2.347005309,-1.151010524,-1.924116925,-0.576479061
E07000228,Mid Sussex,-4.146936837,-2.814812597,-3.139275025,-1.805457809
E07000229,Worthing,-2.197701581,-0.963258312,-0.561346404,0.806860903
E07000234,Bromsgrove,-2.321562251,-1.232772891,-2.168005857,-0.825906987
E07000235,Malvern Hills,-1.631022397,-0.684754201,-0.956260675,0.035605413
E07000236,Redditch,-0.789798496,-0.356781527,1.084875804,0.556074614
E07000237,Worcester,-0.757919686,-0.06110163,1.186088848,2.178297898
E07000238,Wychavon,-0.180068139,0.601690996,-0.042265225,1.038667618
E07000239,Wyre Forest,1.269928755,1.530729479,1.775632656,2.460851286
E08000001,Bolton,2.591823357,3.504319716,4.098000114,5.028576336
E08000002,Bury,2.039190936,2.924528661,3.05142372,3.874932292
E08000003,Manchester,-3.42717994,-2.295080037,-1.315998266,0.552791896
E08000004,Oldham,0.550382052,1.318861496,2.076585242,2.941597359
E08000005,Rochdale,1.133604001,1.806851867,2.088524933,2.981123648
E08000006,Salford,-0.508265131,0.364458024,0.187154759,1.473189841
E08000007,Stockport,1.055226305,1.765509593,0.926770394,1.732580329
E08000008,Tameside,2.81598131,3.838750483,4.132518607,5.199386069
E08000009,Trafford,-1.101664586,-0.228380059,-0.488204801,0.842662513
E08000010,Wigan,-1.097184778,-0.458910846,-0.976105418,-0.285893631
E08000011,Knowsley,8.077639262,8.261582052,7.920509063,8.365285448
E08000012,Liverpool,-0.520582837,-0.052030819,1.07E-03,1.011749095
E08000013,St. Helens,2.176064606,2.738574715,2.129040171,2.773897131
E08000014,Sefton,2.015671207,2.296589528,2.599869009,3.184393979
E08000015,Wirral,1.209401337,1.737410288,1.658539015,2.318353363
E08000016,Barnsley,0.231013321,0.888512587,0.384155234,1.051061466
E08000017,Doncaster,-2.359535905,-1.88100489,-1.211929182,-0.610387645
E08000018,Rotherham,0.659775699,1.083489322,2.071869175,2.722774755
E08000019,Sheffield,-2.836835805,-2.45002625,-2.816225658,-2.174596718
E08000037,Gateshead,-2.173441616,-1.704634977,-0.997209398,-0.137347858
E08000021,Newcastle upon Tyne,0.954613666,1.071018818,1.27050117,1.965374967
E08000022,North Tyneside,0.389423557,1.184257069,0.854768613,1.795775163
E08000023,South Tyneside,1.790881902,2.036196351,1.490683292,2.124612366
E08000024,Sunderland,3.658087844,3.815615317,2.831185101,3.122133266
E08000025,Birmingham,-0.228911642,0.526030152,2.292452552,3.140178203
E08000026,Coventry,3.084055863,3.775162996,-1.287418867,-0.255773668
E08000027,Dudley,-0.951959731,-0.311028269,-0.365570625,0.341632049
E08000028,Sandwell,0.113370505,1.249160033,2.236795798,3.346552003
E08000029,Solihull,1.302817059,2.299344772,1.633965236,3.031804836
E08000030,Walsall,-1.595230159,-0.772346904,-0.65666979,0.374841229
E08000031,Wolverhampton,-0.586241059,0.081836968,2.150577249,3.0242335
E08000032,Bradford,-0.666767302,0.356608698,2.016520327,3.008342759
E08000033,Calderdale,-0.106462878,0.924777728,0.52678708,1.434955659
E08000034,Kirklees,-2.602330984,-1.857982846,-2.05734373,-1.170725839
E08000035,Leeds,2.700163596,3.462558725,3.893389269,5.08175956
E08000036,Wakefield,1.024181079,1.647201528,1.890099327,2.589509172
E09000001,City of London,9.906519472,7.120854965,-13.06003849,-12.86948801
E09000002,Barking and Dagenham,-1.087793219,1.496665271,-0.05785037,2.954182398
E09000003,Barnet,-7.859690431,-5.762091605,-6.09423849,-3.995867071
E09000004,Bexley,-1.584564213,-0.204781234,-2.641297183,-0.896163917
E09000005,Brent,-8.608524668,-7.154172901,6.780865815,8.653321718
E09000006,Bromley,-0.741628332,0.55902259,-1.411854905,0.675097492
E09000007,Camden,-8.124102325,-7.058837317,-14.97990827,-13.21468347
E09000008,Croydon,-3.361473696,-1.127204973,-0.779494001,1.740564861
E09000009,Ealing,-2.650368123,-1.234132151,7.415327885,9.232105719
E09000010,Enfield,-6.878972052,-4.23833434,-2.742532313,-0.585255961
E09000011,Greenwich,-4.721805098,-3.1011279,-5.533642723,-2.99600759
E09000012,Hackney,-5.358805028,-3.977653672,-6.326317931,-3.881993616
E09000013,Hammersmith and Fulham,-7.63966804,-6.782685525,2.634450418,4.646967308
E09000014,Haringey,-12.11356035,-10.27008292,-3.544336371,-1.871929071
E09000015,Harrow,-9.209457067,-7.960653478,2.707487502,4.202814571
E09000016,Havering,-0.078481189,1.274642767,-0.998511134,0.656223337
E09000017,Hillingdon,-1.702892181,-0.119525827,-0.927644039,1.186832423
E09000018,Hounslow,-0.329653966,1.38889475,5.243177862,7.094413839
E09000019,Islington,-5.485533421,-3.703949858,-9.14351649,-7.163003986
E09000020,Kensington and Chelsea,-28.15143617,-27.0070228,-22.18581461,-18.32263326
E09000021,Kingston upon Thames,-3.520899461,-1.820214377,-6.712185787,-4.706151644
E09000022,Lambeth,-2.089431064,-0.255459597,-5.251936144,-2.133227993
E09000023,Lewisham,-2.258671471,-0.524990996,-5.107998324,-3.032927966
E09000024,Merton,-1.861472291,0.457169847,3.690768908,6.530401302
E09000025,Newham,-1.782291827,-0.391478883,-1.559414809,0.536265824
E09000026,Redbridge,-4.14013514,-1.258380175,-2.889539577,0.018170513
E09000027,Richmond upon Thames,-3.980666361,-1.702958821,-3.294279404,-1.517900477
E09000028,Southwark,-4.00906022,-1.835500218,-7.077659725,-4.588611421
E09000029,Sutton,-1.648357657,0.180974912,-1.605783368,0.256617396
E09000030,Tower Hamlets,-4.981519543,-2.751508878,-11.21551458,-8.997897506
E09000031,Waltham Forest,-2.371649966,-0.615535142,-0.683275013,1.20603015
E09000032,Wandsworth,-4.617936577,-2.035221396,0.097563483,2.953030634
E09000033,Westminster,-21.37980372,-19.57430444,-26.44514122,-22.74569364
W06000001,Isle of Anglesey,-1.886880039,-1.036403382,-2.622016124,-2.86605259
W06000002,Gwynedd,-3.985622283,-3.076398883,-5.558737941,-5.491853354
W06000003,Conwy,-1.39179496,-0.610651511,-1.144609185,0.366805207
W06000004,Denbighshire,2.157517234,2.910935926,2.528954405,1.852306462
W06000005,Flintshire,-0.812477322,-0.20375081,-0.057503043,-0.898380388
W06000006,Wrexham,-0.993169879,-0.201871523,-0.913349589,-1.333377568
W06000008,Ceredigion,-1.919548391,-1.1635677,-0.301041054,-0.166862664
W06000009,Pembrokeshire,-2.674183818,-1.801665849,-3.013900371,-3.124139672
W06000010,Carmarthenshire,-2.850623453,-1.979366775,-1.945554235,-1.863709178
W06000011,Swansea,-0.396986418,0.08971146,-0.46353074,-0.36234864
W06000012,Neath Port Talbot,0.057858459,0.551033049,-0.280496264,-0.19033681
W06000013,Bridgend,-1.38016767,-0.760199331,-1.428673862,-1.576872821
W06000014,The Vale of Glamorgan,-0.709412981,0.111798611,-0.724569264,-0.424678048
W06000015,Cardiff,-0.078653375,1.265504031,0.308457538,0.304502893
W06000016,Rhondda Cynon Taf,1.749015493,2.210233975,1.22716944,2.707452577
W06000018,Caerphilly,-0.948618461,-0.479695105,-0.863071968,-1.130332069
W06000019,Blaenau Gwent,-0.995005767,-0.533367283,-0.998868861,-1.161346607
W06000020,Torfaen,0.790923552,1.12646692,0.743822846,0.385893023
W06000021,Monmouthshire,-3.322419028,-2.283372239,-2.904714863,-3.421231987
W06000022,Newport,1.394713275,1.794713153,2.279217673,4.368138597
W06000023,Powys,-2.698854027,-1.819191786,-1.881854524,-2.272939599
W06000024,Merthyr Tydfil,0.393053088,1.104915974,1.413362598,2.887328884
