AREACD,AREANM,% difference between SPDv1.0 & Census 2011,% difference between SPDv2.0 & Census 2011,% difference between SPDv1.0 & Official estimates 2015,% difference between SPDv2.0 & Official estimates 2015
E07000180,Vale of White Horse,1.19E-02,1.25764536,-1.514886,-0.21884844
E07000181,West Oxfordshire,-0.872694,0.84978864,-0.53585736,0.66623088
E07000187,Mendip,0.216327,0.71925984,1.32970536,2.07081732
E07000188,Sedgemoor,0.27751596,0.8849094,0.61965744,1.45684356
E07000189,South Somerset,-0.34010784,0.4949052,0.75717348,1.58780952
E07000190,Taunton Deane,-0.2951346,0.1241526,0.33151788,0.97455732
E07000191,West Somerset,-0.49142028,0.19379952,1.60799928,2.33351748
E07000192,Cannock Chase,-2.24579832,-1.62894252,-1.78657332,-1.2068808
E07000193,East Staffordshire,-2.09186232,-1.42310028,0.65356776,1.19027916
E07000194,Lichfield,-2.3999046,-1.30427004,-1.89628644,-0.97092672
E07000195,Newcastle-under-Lyme,-2.5526556,-2.20293696,-4.31752524,-3.542052
E07000196,South Staffordshire,-2.862084,-2.14295628,-4.35886788,-3.50053284
E07000197,Stafford,-3.4880682,-2.70224424,-3.29509092,-2.66107116
E07000198,Staffordshire Moorlands,-1.68558072,-1.13937348,-1.62196956,-0.97220088
E07000199,Tamworth,0.2733912,0.74518632,1.47159096,1.85893368
E07000200,Babergh,-1.26920448,-0.56621832,-0.5635824,-0.1076052
E07000201,Forest Heath,-10.26712188,-8.78489652,-9.40164228,-7.94335152
E07000202,Ipswich,-2.83302348,-2.18976792,2.24247792,2.92477872
E07000203,Mid Suffolk,-2.15608236,-1.03090008,-2.06801028,-1.5115626
E07000204,St Edmundsbury,-5.46771408,-4.46454312,-4.5729318,-3.9170658
E07000205,Suffolk Coastal,-1.9916652,-0.86598336,-0.5421744,0.11995008
E07000206,Waveney,0.55182468,1.09011396,1.41295548,1.87361208
E07000207,Elmbridge,-4.02979944,-2.269341,0.43868244,1.9564332
E07000208,Epsom and Ewell,-2.25293604,-0.44259804,-1.770741,-0.12007596
E07000209,Guildford,0.02536752,1.28762316,-2.86281492,-1.87376784
E07000210,Mole Valley,-2.28685212,-1.027467,0.3679272,1.13165472
E07000211,Reigate and Banstead,-3.70529976,-2.27663508,-2.51492016,-0.57376824
E07000212,Runnymede,-3.3282822,-1.20879396,-4.31946168,-2.59644372
E07000213,Spelthorne,-1.71593544,0.4669554,0.81040728,2.5372452
E07000214,Surrey Heath,-1.5657504,0.12676452,-0.0258894,1.26176664
E07000215,Tandridge,-2.48969856,-1.07568852,-1.77576288,-0.46312116
E07000216,Waverley,-1.95637152,-1.29404796,-0.33086004,0.51867168
E07000217,Woking,-2.89239708,-1.5762414,1.95625284,3.51425556
E07000218,North Warwickshire,-0.15673884,0.53407296,0.44913756,1.19642604
E07000219,Nuneaton and Bedworth,0.629451,1.43997696,3.03612288,3.82840272
E07000220,Rugby,-2.25910572,-1.11996,0.72387696,1.9848612
E07000221,Stratford-on-Avon,0.708138,1.9780056,2.70469548,3.85609188
E07000222,Warwick,-3.31628496,-1.89614088,-1.2589062,-0.242691
E07000223,Adur,0.608022,1.7887614,0.83053488,1.71025872
E07000224,Arun,0.0369186,1.02328812,1.07800584,2.13443604
E07000225,Chichester,0.70653984,2.14914672,1.71317196,2.76979896
E07000226,Crawley,-1.70211168,-0.32758896,0.180762,1.19389524
E07000227,Horsham,-2.19343344,-1.07569632,-1.79821596,-0.53875824
E07000228,Mid Sussex,-3.87558984,-2.63063064,-2.93386248,-1.68732108
E07000229,Worthing,-2.05389912,-0.90022932,-0.52461576,0.75406548
E07000234,Bromsgrove,-2.1696552,-1.15210872,-2.02614648,-0.77186532
E07000235,Malvern Hills,-1.52429952,-0.6399486,-0.89368956,0.03327564
E07000236,Redditch,-0.73811952,-0.3334362,1.013889,0.51968892
E07000237,Worcester,-0.70832664,-0.05710356,1.10847936,2.03576508
E07000238,Wychavon,-0.16828572,0.56232048,-0.03949968,0.97070436
E07000239,Wyre Forest,1.18683336,1.43056908,1.65944748,2.29983012
E08000001,Bolton,2.42223228,3.27502116,3.8298552,4.69954092
E08000002,Bury,1.90576032,2.73316764,2.85175956,3.6213834
E08000003,Manchester,-3.20292888,-2.1449058,-1.2298884,0.516621
E08000004,Oldham,0.51436884,1.23256428,1.9407078,2.74911948
E08000005,Rochdale,1.05942876,1.68862392,1.95186624,2.78605944
E08000006,Salford,-0.47500776,0.3406104,0.17490864,1.37679444
E08000007,Stockport,0.98617956,1.6499868,0.86612892,1.6192122
E08000008,Tameside,2.63172288,3.58756908,3.86211504,4.85917404
E08000009,Trafford,-1.02957924,-0.21343644,-0.45626004,0.78752448
E08000010,Wigan,-1.02539256,-0.42888288,-0.9122358,-0.26718672
E08000011,Knowsley,7.54909416,7.721001,7.40224548,7.81791876
E08000012,Liverpool,-0.48651948,-0.04862628,1.00E-03,0.9455472
E08000013,St. Helens,2.03367792,2.55938124,1.98973044,2.5923924
E08000014,Sefton,1.88377956,2.14631652,2.42975148,2.97602916
E08000015,Wirral,1.13026644,1.62372612,1.55001564,2.16665628
E08000016,Barnsley,0.2158974,0.83037444,0.35901876,0.98228724
E08000017,Doncaster,-2.20514412,-1.75792488,-1.13262888,-0.57044808
E08000018,Rotherham,0.61660452,1.01259324,1.93630032,2.54461512
E08000019,Sheffield,-2.6512128,-2.2897134,-2.63195124,-2.03230608
E08000037,Gateshead,-2.03122656,-1.5930954,-0.93195888,-0.12836076
E08000021,Newcastle upon Tyne,0.89215032,1.00093872,1.18736832,1.83677436
E08000022,North Tyneside,0.36394236,1.10676744,0.79883844,1.678272
E08000023,South Tyneside,1.67369892,1.90296168,1.39314324,1.98559236
E08000024,Sunderland,3.41872776,3.56594772,2.64593184,2.91784236
E08000025,Birmingham,-0.21393324,0.49161036,2.14245024,2.93470656
E08000026,Coventry,2.88225648,3.52814232,-1.20317904,-0.2390376
E08000027,Dudley,-0.88967004,-0.29067672,-0.3416502,0.319278
E08000028,Sandwell,0.10595232,1.1674236,2.09043528,3.12757668
E08000029,Solihull,1.21756968,2.14889148,1.5270498,2.8334244
E08000030,Walsall,-1.49084928,-0.72180984,-0.61370184,0.3503142
E08000031,Wolverhampton,-0.54788148,0.07648212,2.00985828,2.82634848
E08000032,Bradford,-0.62313864,0.33327468,1.88457312,2.81149752
E08000033,Calderdale,-0.09949668,0.86426664,0.49231776,1.34106204
E08000034,Kirklees,-2.43205236,-1.73640924,-1.92272532,-1.0941216
E08000035,Leeds,2.52348348,3.23599272,3.63863268,4.7492442
E08000036,Wakefield,0.95716572,1.53942,1.76642424,2.42006952
E09000001,City of London,9.25830504,6.65491524,-12.20547948,-12.02739732
E09000002,Barking and Dagenham,-1.01661552,1.3987338,-0.05406504,2.76088104
E09000003,Barnet,-7.3454064,-5.38506,-5.69547348,-3.73440504
E09000004,Bexley,-1.48088124,-0.19138176,-2.46846888,-0.83752512
E09000005,Brent,-8.04524208,-6.68605308,6.33717264,8.08710792
E09000006,Bromley,-0.69310128,0.522444,-1.31947284,0.63092376
E09000007,Camden,-7.592517,-6.5969556,-13.9997262,-12.35000556
E09000008,Croydon,-3.141522,-1.05344844,-0.72848928,1.62667428
E09000009,Ealing,-2.47694628,-1.15337904,6.93011988,8.62802028
E09000010,Enfield,-6.42885948,-3.96100692,-2.56307988,-0.54696084
E09000011,Greenwich,-4.41284268,-2.89821144,-5.17155924,-2.79996948
E09000012,Hackney,-5.00816172,-3.7173834,-5.91236724,-3.62798268
E09000013,Hammersmith and Fulham,-7.13978076,-6.33887328,2.46207012,4.34290176
E09000014,Haringey,-11.32093236,-9.5980794,-3.3124194,-1.74944292
E09000015,Harrow,-8.6068536,-7.43976312,2.53032816,3.92781132
E09000016,Havering,-0.07334592,1.19123892,-0.93317544,0.6132846
E09000017,Hillingdon,-1.59146664,-0.11170488,-0.8669454,1.10917428
E09000018,Hounslow,-0.30808368,1.29801504,4.9001004,6.63020424
E09000019,Islington,-5.12659788,-3.46158888,-8.54522772,-6.69430632
E09000020,Kensington and Chelsea,-26.3094,-25.23986916,-20.73412764,-17.12372628
E09000021,Kingston upon Thames,-3.29051604,-1.70111208,-6.27298656,-4.39821348
E09000022,Lambeth,-1.95271308,-0.23874408,-4.9082856,-1.99364424
E09000023,Lewisham,-2.11087956,-0.4906392,-4.77376608,-2.83447404
E09000024,Merton,-1.73967036,0.4272558,3.4492704,6.1030968
E09000025,Newham,-1.66567092,-0.3658632,-1.45737744,0.50117628
E09000026,Redbridge,-3.8692332,-1.17604044,-2.700468,0.01698156
E09000027,Richmond upon Thames,-3.72019896,-1.59152892,-3.07872444,-1.41857952
E09000028,Southwark,-3.74673492,-1.71539772,-6.6145464,-4.28836428
E09000029,Sutton,-1.54050048,0.16913316,-1.50071196,0.23982612
E09000030,Tower Hamlets,-4.6555632,-2.57146908,-10.48164852,-8.40913704
E09000031,Waltham Forest,-2.21646552,-0.57525876,-0.6385662,1.12711584
E09000032,Wandsworth,-4.3157706,-1.90205052,0.0911796,2.75980464
E09000033,Westminster,-19.98085656,-18.29349672,-24.71475324,-21.25737204
W06000001,Isle of Anglesey,-1.7634156,-0.96858828,-2.45044944,-2.67851784
W06000002,Gwynedd,-3.7248306,-2.87510052,-5.1950124,-5.13250428
W06000003,Conwy,-1.30072548,-0.57069468,-1.06971384,0.342804
W06000004,Denbighshire,2.01634416,2.72046432,2.36347704,1.73110428
W06000005,Flintshire,-0.7593144,-0.19041876,-0.05374044,-0.83959656
W06000006,Wrexham,-0.92818368,-0.18866244,-0.85358628,-1.24613052
W06000008,Ceredigion,-1.79394636,-1.08743184,-0.281343,-0.15594432
W06000009,Pembrokeshire,-2.49920364,-1.68377724,-2.81669148,-2.91971748
W06000010,Carmarthenshire,-2.66409828,-1.84985064,-1.81825056,-1.74176088
W06000011,Swansea,-0.37101036,0.08384136,-0.43320048,-0.33863904
W06000012,Neath Port Talbot,0.0540726,0.51497724,-0.26214252,-0.17788248
W06000013,Bridgend,-1.289859,-0.71045712,-1.33519128,-1.47369312
W06000014,The Vale of Glamorgan,-0.66299388,0.10448328,-0.67715844,-0.39689004
W06000015,Cardiff,-0.07350684,1.18269816,0.2882742,0.28457832
W06000016,Rhondda Cynon Taf,1.63457196,2.06561148,1.14687192,2.53029552
W06000018,Caerphilly,-0.8865474,-0.44830716,-0.80659848,-1.05637092
W06000019,Blaenau Gwent,-0.92989944,-0.4984674,-0.93350976,-1.08535608
W06000020,Torfaen,0.73917096,1.05275868,0.6951522,0.36064284
W06000021,Monmouthshire,-3.1050228,-2.13396408,-2.71465032,-3.19737012
W06000022,Newport,1.30345284,1.67727948,2.13008136,4.08231768
W06000023,Powys,-2.5222596,-1.7001564,-1.75871892,-2.12421408
W06000024,Merthyr Tydfil,0.3673344,1.03261788,1.32088188,2.69840196
